site_id,closest_gage,gage_riv_dist_m
508SHA223,11370500,4412.813637247204
508SHA900,11376000,5081.41399336223
508SHA901,11383730,0
508SHA902,11374000,7212.073138039249
508SHA904,11371000,4644.059660324629
508SHA905,11374000,302.089532409138
508SHA914,11374000,7342.786232410474
508SIMDWx,11370500,52418.505468645264
508ST0327,11376000,193.2049475415265
508ST1321,11370500,3402.7952082195225
508TEH904,11376000,4017.2439492544095
508XCOYTR,11380500,5515.751107648205
509BUT104,11389720,12987.185729162606
509CE0162,11383500,32039.425823182544
509MJR013,11383500,776.2032348477151
509PS0270,11381500,16723.393795589236
509R5NP3F,11384000,10552.662410667976
509R5NPSH,11384000,9964.632816226134
509ST1747,11384000,3970.9199477482093
510ADVSHB,11153900,2336.2247281162586
510BECHLK,11336580,8331.173977803552
510CDLUxx,11336585,2769.780652286738
510CR0036,11336580,12191.989428070967
510CR1007,11336580,12191.989428070967
510EGCUxx,11336585,7281.070491908415
510INDM44,11336580,11629.716012774172
510INDM44_SWAMP,11336580,11629.716012774172
510LGCUxx,11336585,870.5065290221567
510LSAC04,11336580,11627.379725015193
510LSAC05,11336580,13941.463278371397
510LSAC06,11336580,17219.09969691404
510LSAC07,11336580,29977.917238666938
510MRCBLK,11336580,8331.173977803552
510SAC002,11336580,17414.208817066086
510SAC100,11336580,29737.07667000586
510SAC102,11336580,22809.20636366584
510SAC103,11336580,13941.463278371397
510SRFREP,11336580,12092.634742012957
510ST1061,11460600,7817.989177774824
510ST1301,11336580,12092.634742012957
510ST1304,11336580,11629.716012774172
510ST1305,11336580,12191.989428070967
510ST1317,11336580,12092.634742012957
510ST1324,11336580,10473.226710170913
510XSRFPT,11336580,12092.634742012957
510XSRR44,11336580,11629.716012774172
510YOL101,11336580,26861.983972531547
510YOL104,11336580,11627.379725015193
511CAC113,11452500,5504.1671801487155
511CCC505,11452500,9047.374830491459
511CHCPRS,11452500,8830.37987515902
511ST0186,11452000,4601.087358106418
511ST0188,11452500,8068.990880784036
511ST0193,11452500,5445.349972711714
511ST0198,11452500,11819.492398562996
511ST0521,11452500,7929.910939856082
511ST1326,11391000,11881.692029655907
511XCCCPY,11452000,2953.717798051254
511XDCGLT,11329500,257.22586631241825
513156OAK,11451500,50858.17028178769
513174OAK,11451500,49519.20298491926
513322LWR,11451500,33043.24250772518
513325LWR,11451000,11566.90882563011
513390LWR,11451000,10617.264141211035
513716UPR,11449100,43174.98427439275
513762UPR,11449100,41784.13380052843
513772UPR,11449100,41539.29499579271
513778UPR,11449100,40481.30157542289
513816UPR,11449100,29590.392476257322
513907LWR,11451000,8705.25962420359
513AC1,11448500,11705.017615578072
513ADVIVN,11451100,7558.143316446786
513ADVIVS,11451300,1386.7169725244212
513BTCACC,11451100,2137.2284015071687
513CCNASC,11451100,0
513CLOK01,11451500,49899.51262734362
513DAVSCR,11451720,21821.662927717825
513EMFS01,11451500,49610.85048882328
513KSCAKV,11449500,0
513L12141,11449100,32949.965095650405
513L17007,11449100,32949.965095650405
513LAK002,11449100,38180.44676442049
513LAK004,11451000,11720.90967277618
513LAK006,11451500,49943.62947084455
513LPTNT,11449100,42996.15115139195
513PIV081,11451300,1513.3346708283586
513PS0008,11448500,8712.58185759087
513PS0088,11451500,6890.214125604598
513PS0200,11451100,5337.687536012868
